Norway,0.953
Switzerland,0.944
Australia,0.939
Ireland,0.938
Germany,0.936
Iceland,0.935
Hong Kong,0.933
Sweden,0.933
Singapore,0.932
Netherlands,0.931
Denmark,0.929
Canada,0.926
United States,0.924
United Kingdom,0.922
Finland,0.920
New Zealand,0.917
Belgium,0.916
Liechtenstein,0.916
Japan,0.909
Austria,0.908
Luxembourg,0.904
Israel,0.903
Republic of Korea,0.903
France,0.901
Slovenia,0.896
Spain,0.891
Czech Republic,0.888
Italy,0.880
Malta,0.878
Estonia,0.871
Greece,0.870
Cyprus,0.869
Poland,0.865
United Arab Emirates,0.863
Andorra,0.858
Lithuania,0.858
Qatar,0.856
Slovakia,0.855
Brunei Darussalam,0.853
Saudi Arabia,0.853
Latvia,0.847
Portugal,0.847
Bahrain,0.846
Chile,0.843
Hungary,0.838
Croatia,0.831
Argentina,0.825
Oman,0.821
Russian Federation,0.816
Montenegro,0.814
Bulgaria,0.813
Romania,0.811
Belarus,0.808
Bahamas,0.807
Uruguay,0.804
Kuwait,0.803
Malaysia,0.802
Barbados,0.800
Kazakhstan,0.800
Iran (Islamic Republic of),0.798
Palau,0.798
Seychelles,0.797
Costa Rica,0.794
Turkey,0.791
Mauritius,0.790
Panama,0.789
Serbia,0.787
Albania,0.785
Trinidad and Tobago,0.784
Antigua and Barbuda,0.780
Georgia,0.780
Saint Kitts and Nevis,0.778
Cuba,0.777
Mexico,0.774
Grenada,0.772
Sri Lanka,0.770
Bosnia and Herzegovina,0.768
Venezuela,0.761
Brazil,0.759
Azerbaijan,0.757
Lebanon,0.757
The former Yugoslav Republic of Macedonia,0.757
Armenia,0.755
Thailand,0.755
Algeria,0.754
China,0.752
Ecuador,0.752
Ukraine,0.751
Peru,0.750
Colombia,0.747
Saint Lucia,0.747
Fiji,0.741
Mongolia,0.741
Dominican Republic,0.736
Jordan,0.735
Tunisia,0.735
Jamaica,0.732
Tonga,0.726
Saint Vincent and the Grenadines,0.723
Suriname,0.720
Botswana,0.717
Maldives,0.717
Dominica,0.715
Samoa,0.713
Uzbekistan,0.710
Belize,0.708
Marshall Islands,0.708
Libya,0.706
Turkmenistan,0.706
Gabon,0.702
Paraguay,0.702
Moldova,0.700
Philippines,0.699
South Africa,0.699
Egypt,0.696
Indonesia,0.694
Viet Nam,0.694
Bolivia,0.693
Palestine,0.686
Iraq,0.685
El Salvador,0.674
Kyrgyzstan,0.672
Morocco,0.667
Nicaragua,0.658
Cape Verde,0.654
Guyana,0.654
Guatemala,0.650
Tajikistan,0.650
Namibia,0.647
India,0.640
Federated States of Micronesia,0.627
Timor-Leste,0.625
Honduras,0.617
Bhutan,0.612
Kiribati,0.612
Bangladesh,0.608
Democratic Republic of Congo,0.606
Vanuatu,0.603
Lao People's Democratic Republic,0.601
Ghana,0.592
Equatorial Guinea,0.591
Kenya,0.590
Sao Tome and Principe,0.589
Swaziland,0.588
Zambia,0.588
Cambodia,0.582
Angola,0.581
Myanmar,0.578
Nepal,0.574
Pakistan,0.562
Cameroon,0.556
Solomon Islands,0.546
Papua New Guinea,0.544
Tanzania,0.538
Syrian Arab Republic,0.536
Zimbabwe,0.535
Nigeria,0.532
Rwanda,0.524
Lesotho,0.520
Mauritania,0.520
Madagascar,0.519
Uganda,0.516
Benin,0.515
Senegal,0.505
Comoros,0.503
Togo,0.503
Sudan,0.502
Afghanistan,0.498
Haiti,0.498
Cote d'Ivoire,0.492
Malawi,0.477
Djibouti,0.476
Ethiopia,0.463
Gambia,0.460
Guinea,0.459
Congo,0.457
Guinea-Bissau,0.455
Yemen,0.452
Eritrea,0.440
Mozambique,0.437
Liberia,0.435
Mali,0.427
Burkina Faso,0.423
Sierra Leone,0.419
Burundi,0.417
Chad,0.404
South Sudan,0.388
Central African Republic,0.367
Niger,0.354
