country,electricity consumption,land area,consumption over land area
Afghanistan,2866000000,652230,4394.15543596584
Albania,7094000000,27398,258924.009051756
Algeria,53440000000,2381740,22437.3777154517
American Samoa,154000000,224,687500
Andorra,221600000,468,473504.273504274
Angola,8338000000,1246700,6688.05646907837
Antigua and Barbuda,306900000,442.6,693402.620876638
Argentina,122500000000,2736690,44762.1031245775
Armenia,5331000000,28203,189022.444420806
Aruba,891900000,180,4955000
Australia,223600000000,7682300,29105.8667326191
Austria,70700000000,82445,857541.391230517
Azerbaijan,20270000000,82629,245313.388761815
Bahamas,1681000000,10010,167932.067932068
Bahrain,26090000000,760,34328947.3684211
Bangladesh,48980000000,130170,376277.176000615
Barbados,944000000,430,2195348.8372093
Belarus,31750000000,202900,156481.025135535
Belgium,81960000000,30278,2706915.91254376
Belize,413000000,22806,18109.269490485
Benin,1121000000,110622,10133.6081430457
Bermuda,615700000,54,11401851.8518519
Bhutan,2009000000,38394,52325.8842527478
Bolivia,8981000000,1083301,8290.40128274598
Bosnia and Herzegovina,11440000000,51187,223494.246586047
Botswana,3722000000,566730,6567.50127926879
Brazil,460800000000,8358140,55131.8834094667
British Virgin Islands,631500000,151,4182119.20529801
Brunei,3679000000,5265,698765.432098765
Bulgaria,35240000000,108489,324825.558351538
Burkina Faso,1321000000,273800,4824.68955441928
Burma,12910000000,653508,19754.9226635328
Burundi,303900000,25680,11834.1121495327
Cape Verde,436200000,4033,108157.698983387
Cambodia,4952000000,176515,28054.2730079597
Cameroon,5702000000,472710,12062.3638171395
Canada,516600000000,9093507,56809.7654733207
Cayman Islands,587000000,264,2223484.84848485
Central African Republic,161800000,622984,259.717745560079
Chad,200000000,1259200,158.831003811944
Chile,67950000000,743812,91353.7291681231
China,5920000000000,9326410,634756.567639638
Colombia,60110000000,1038700,57870.4149417541
Comoros,50220000,2235,22469.7986577181
Democratic Republic of Congo,7190000000,2267048,3171.52526104432
Congo,900500000,341500,2636.89604685212
Cook Islands,29760000,236,126101.694915254
Costa Rica,9113000000,51060,178476.302389346
Cote d'Ivoire,5669000000,318003,17826.8758470832
Croatia,18650000000,55974,333190.409833137
Cuba,17340000000,109820,157894.736842105
Curacao,968000000,444,2180180.18018018
Cyprus,4028000000,9241,435883.562385023
Czech Republic,61160000000,77247,791745.957771823
Denmark,31410000000,42434,740208.323514163
Djibouti,376700000,23180,16251.078515962
Dominica,87420000,751,116404.793608522
Dominican Republic,13250000000,48320,274213.57615894
Ecuador,27530000000,276841,99443.3627966956
Egypt,150400000000,995450,151087.44788789
El Salvador,6344000000,20721,306162.829979248
Equatorial Guinea,395300000,28051,14092.1892267655
Eritrea,329800000,101000,3265.34653465347
Estonia,7664000000,42388,180805.888458998
Swaziland,1481000000,17204,86084.6314810509
Ethiopia,8143000000,1000000,8143
Faroe Islands,291400000,1393,209188.8011486
Fiji,827700000,18274,45293.8601291452
Finland,85150000000,303815,280269.24279578
France,436100000000,640427,680951.927385947
French Polynesia,582200000,3827,152129.605435067
Gabon,1907000000,257667,7401.02535443033
Gambia,223200000,10120,22055.3359683794
Gaza Strip,202000,360,561.111111111111
Georgia,12440000000,69700,178479.196556671
Germany,514600000000,348672,1475885.64610866
Ghana,11420000000,227533,50190.5218144181
Gibraltar,188600000,6.5,29015384.6153846
Greece,53050000000,130647,406056.013532649
Greenland,317500000,2166086,146.577744373954
Grenada,185000000,344,537790.697674419
Guam,1574000000,544,2893382.35294118
Guatemala,10020000000,107159,93505.9117759591
Guinea,930000000,245717,3784.84191163005
Guinea-Bissau,31620000,28120,1124.46657183499
